What city do you live in?,"What state or province do you live in, if applicable?",What country do you live in?,What is your age?,How often do you try to make other people happy?,Are your surroundings physically safe?,Do the people you're close to (family/friends) love and support you?,How often do you listen to music you enjoy?,"How often do you use technology (games, social media, etc.) for entertainment? ",How many hours of uninterrupted sleep do you get each night?,How often are you outdoors?,Do you feel respected by other people?,How much exercise do you get weekly?,How often do you smile every day?,Do you love and appreciate yourself?,"How often do you feel happy with what you do every day (e.g. work, school)?",How often do you argue with people who are close to you?
Albuquerque,New Mexico,United States,15,5,5,2,5,5,7-9 hours,4,3,More than 90 minutes a week,5,5,4,4
LaGrange,Indiana,United States,15,4,4,5,4,5,7-9 hours,3,4,60-90 minutes a week,4,4,5,3
American Canyon,California,United States,13,4,4,5,4,2,7-9 hours,4,4,More than 90 minutes a week,5,5,4,2
Seattle,Washington,United States,14,5,5,4,5,5,7-9 hours,4,4,More than 90 minutes a week,5,4,5,3
Waianae,Hawaii,United States,16,4,2,4,5,5,7-9 hours,2,4,Less than 30 minutes a week,5,5,4,2
Waianae,Hawaii,United States,16,5,3,5,5,5,7-9 hours,5,3,More than 90 minutes a week,4,4,4,2
Zanesville,Ohio,United States,15,5,3,4,5,5,4-6 hours,3,3,30- 60 minutes a week,3,3,3,3
San Anselmo,California,United States,15,5,3,3,4,5,4-6 hours,3,2,More than 90 minutes a week,5,3,4,1
Napa,California,United States,14,4,5,5,5,5,More than 9 hours,3,4,More than 90 minutes a week,5,4,3,2
Beijing,,China,50,5,1,5,1,5,Less than an hour,1,5,Less than 30 minutes a week,1,5,1,5
Albuquerque,New Mexico,United States,16,4,4,5,4,4,7-9 hours,3,3,More than 90 minutes a week,4,3,4,2
Northridge,California,United States,55,5,4,5,3,4,4-6 hours,3,3,More than 90 minutes a week,4,3,3,2
Los Gatos,California,United States,14,4,4,5,3,4,7-9 hours,2,4,30- 60 minutes a week,3,5,4,3
Rogers,Arkansas,United States,14,3,4,5,3,5,4-6 hours,2,2,Less than 30 minutes a week,4,3,2,3
Napa,California,United States,18,5,4,5,3,5,7-9 hours,3,4,Less than 30 minutes a week,5,3,4,2
Zanesville,Ohio,United States,12,4,5,3,5,3,Less than an hour,4,2,30- 60 minutes a week,4,5,4,4
Niles,Michigan,United States,15,5,5,5,5,5,4-6 hours,4,5,Less than 30 minutes a week,5,5,5,2
Buffalo,West Virginia,United States,15,4,4,5,5,5,Less than an hour,4,3,30- 60 minutes a week,4,2,4,5
Idaho Falls,Idaho,United States,14,5,5,5,5,3,4-6 hours,4,4,30- 60 minutes a week,5,4,4,5
Arkadelphia,Arkansas,United States,15,3,5,5,5,5,7-9 hours,2,2,30- 60 minutes a week,3,5,3,2
Odessa,Texas,United States,15,3,3,5,5,5,4-6 hours,4,4,More than 90 minutes a week,5,5,4,5
American Canyon,California,United States,13,4,3,5,5,4,7-9 hours,3,5,60-90 minutes a week,3,3,3,1
Odessa,Texas,United States,16,4,4,4,5,4,7-9 hours,4,3,30- 60 minutes a week,2,2,2,4
Waianae,Hawaii,United States,16,5,3,4,4,3,4-6 hours,4,4,More than 90 minutes a week,5,5,5,3
McKinney,Texas,United States,32,5,5,5,3,5,4-6 hours,2,4,More than 90 minutes a week,4,2,3,3
Crown Point,Indiana,United States,55,3,4,4,2,4,7-9 hours,2,3,Less than 30 minutes a week,5,4,4,3
Waianae,Hawaii,United States,16,5,5,5,5,5,4-6 hours,4,5,More than 90 minutes a week,5,5,5,2
Albany,New York,United States,15,3,5,4,1,5,7-9 hours,2,4,30- 60 minutes a week,2,3,3,4
Napa,California,United States,12,4,4,5,5,4,4-6 hours,3,4,30- 60 minutes a week,5,4,4,3
Los Angeles,California,United States,25,5,4,5,2,5,7-9 hours,2,4,Less than 30 minutes a week,4,4,4,5
Sacramento,California,United States,16,4,5,5,5,4,Less than an hour,2,4,30- 60 minutes a week,5,5,2,2
Sanford,Michigan,United States,15,4,3,5,5,4,1-3 hours,3,4,More than 90 minutes a week,4,4,3,3
Chicago,Illinois,United States,26,4,5,4,5,5,More than 9 hours,3,4,Less than 30 minutes a week,3,3,2,5
Zanesville,Ohio,United States,16,5,5,5,5,4,7-9 hours,4,4,60-90 minutes a week,5,5,4,1
Napa,California,United States,11,1,5,5,5,4,4-6 hours,5,3,More than 90 minutes a week,5,5,5,3
Belleville,Michigan,United States,15,3,3,3,4,5,4-6 hours,3,2,More than 90 minutes a week,3,3,3,4
Coppell,Texas,United States,15,4,4,3,5,3,1-3 hours,3,3,More than 90 minutes a week,2,3,3,2
Idaho Falls,Idaho,United States,14,5,5,5,5,5,7-9 hours,5,4,Less than 30 minutes a week,5,5,4,5
New York,New York,United States,15,4,3,5,5,3,4-6 hours,4,3,60-90 minutes a week,3,4,4,3
Dallas,Texas,United States,15,5,4,5,4,4,7-9 hours,3,3,More than 90 minutes a week,5,5,4,2
Holland,Michigan,United States,14,3,3,2,5,4,7-9 hours,3,2,60-90 minutes a week,3,2,3,4
San Jose,California,United States,13,5,4,5,5,5,7-9 hours,3,4,60-90 minutes a week,4,4,4,3
Odessa,Texas,United States,14,5,4,3,5,3,7-9 hours,2,1,30- 60 minutes a week,2,1,3,3
Walterboro,South Carolina,United States,16,5,4,5,5,5,More than 9 hours,2,3,More than 90 minutes a week,5,5,4,4
Dallas,Texas,United States,15,4,3,4,5,3,4-6 hours,3,4,30- 60 minutes a week,3,4,4,2
Dallas,Texas,United States,14,5,5,5,5,5,4-6 hours,4,4,30- 60 minutes a week,5,4,3,1
Sioux Falls,South Dakota,United States,17,5,4,5,3,5,7-9 hours,2,4,30- 60 minutes a week,4,4,4,3
Idaho Falls,Idaho,United States,14,4,4,5,5,4,7-9 hours,3,4,More than 90 minutes a week,5,4,5,3
Angwin,California,United States,47,5,5,5,3,5,4-6 hours,2,4,Less than 30 minutes a week,5,4,4,2
Albuquerque,New Mexico,United States,16,2,4,2,5,4,7-9 hours,5,3,More than 90 minutes a week,2,5,1,5
Los Angeles,California,United States,59,4,4,4,5,4,4-6 hours,4,4,More than 90 minutes a week,5,5,4,3
Vallejo,California,United States,15,3,4,4,5,5,7-9 hours,3,3,More than 90 minutes a week,3,2,2,2
Lowell,Indiana,United States,15,4,5,5,4,4,7-9 hours,5,3,More than 90 minutes a week,5,5,5,2
Cincinnati,Ohio,United States,14,3,3,3,5,5,4-6 hours,2,2,Less than 30 minutes a week,4,2,2,5
Davis,California,United States,17,3,4,5,5,5,4-6 hours,3,3,Less than 30 minutes a week,3,3,3,2
Idaho Falls,Idaho,United States,16,4,4,5,4,3,7-9 hours,2,4,Less than 30 minutes a week,5,5,4,1
American Canyon,California,United States,17,4,4,5,5,5,7-9 hours,4,5,More than 90 minutes a week,4,4,3,2
Dumas,Arkansas,United States,15,5,3,5,5,5,1-3 hours,3,1,More than 90 minutes a week,4,5,5,1
Napa,California,United States,15,5,4,4,5,2,7-9 hours,3,5,More than 90 minutes a week,5,5,3,4
American Canyon,California,United States,12,4,4,5,5,5,7-9 hours,2,3,More than 90 minutes a week,5,4,2,3
Odessa,Texas,United States,15,4,5,5,5,3,More than 9 hours,2,4,Less than 30 minutes a week,4,4,3,2
Napa,California,United States,12,5,4,4,4,5,7-9 hours,3,5,30- 60 minutes a week,5,4,4,2
Evansville,Indiana,United States,18,5,5,5,5,3,7-9 hours,2,4,30- 60 minutes a week,5,5,4,3
Montebello,California,United States,15,4,5,5,5,4,7-9 hours,3,4,60-90 minutes a week,5,5,5,2
Odessa,Texas,United States,15,5,5,4,5,4,More than 9 hours,3,4,30- 60 minutes a week,4,3,4,2
Sanford,Michigan,United States,15,5,3,4,5,5,4-6 hours,4,3,More than 90 minutes a week,4,2,2,3
St. Louis,Missouri,United States,33,3,4,4,2,4,4-6 hours,2,3,Less than 30 minutes a week,2,3,3,2
Holland,Michigan,United States,14,3,4,3,5,4,7-9 hours,4,2,30- 60 minutes a week,3,1,2,4
American Canyon,California,United States,17,4,5,5,3,3,7-9 hours,4,4,30- 60 minutes a week,5,2,3,2
